"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"22679","Normal/Others","NA-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Rimjha, Janpad Panchayat Patan ke gram Singori me Shaskiya Bhumi par Sanskratik Gatividhiyon ke liye samudayik Bhawan nirman, Jabalpur","16-Jul-2026","1000000","NA"
"22680","Normal/Others","NA-Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Lahar Singh Siroya (2022-28) (2022-2028)","Elected MP","purchase of 10 three wheel EV vehicles for differently abled persons in Yelahanka Assembly constituency","17-Jul-2026","100000","NA"
"22681","Normal/Others","NA-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","For SS benches in Mehsana General Hospital","25-Jul-2026","375000","NA"
"22682","Normal/Others","WS/MP18304/2026-2027/296107-Construction of water tanks","Himachal Pradesh","KINNAUR(DEPUTY COMMISSIONER KINNAUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","construction of community water storage tank at shonbalo village","17-Jul-2026","300000","05-Aug-2026"
"22683","Normal/Others","WS/MP18456/2026-2027/296136-Construction of rooms and halls in school and colleges","Assam","CHARAIDEO(Deputy Commissioner Charaideo_IDA)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Class Room at Mulagabharu High School , Dichaw Botua Village,Udoipur G.P ,Mahmara Dev.Block","17-Jul-2026","1000000","29-Aug-2026"
"22684","Normal/Others","NA-Construction of rooms and halls in school and colleges","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Classrooms and Building at Jay Krishna Ucchtam Madhyamik Vidhyalaya","17-Jul-2026","2500000","NA"
"22685","Normal/Others","NA-Construction of community centers and community halls","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Atal Bhawan Phase-1 at Nazira Town,Ward No-04","17-Jul-2026","3000000","NA"
"22686","Normal/Others","NA-Purchase of non-conventional energy system and devices for community use","Uttar Pradesh","Amethi(DISTRICT MAGISTRAE AMETHI_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","P R GROUP PETROL PUMP HUSAIN GANJ KLA NH 731 AMETHI PAR AK NAG 04 NAG WALI SOLAR HIGHMAST LIGHT KA ADHISTHAPAN KARYA","17-Jul-2026","98500","NA"
"22687","Normal/Others","NA-Purchase of non-conventional energy system and devices for community use","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","ANAND MISHRA GRAM PHULAHAN MIRZAPUR ME AK NAG 04 NAG WALI SOLAR  HIGH MAST LIGHT KA KARYA","17-Jul-2026","98500","NA"
"22688","Normal/Others","NA-Purchase of non-conventional energy system and devices for community use","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","DURGA MATA MANDIR PHULAHAN MIRZAPUR ME AK NAG 04 NAG WALI SOLAR HIGH MAST LIGHT KA KARYA","17-Jul-2026","98500","NA"
