"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"2882","Normal/Others","WS/MP850/2023-2024/84692-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","SHRI PAPPU KE MAKAN SE SHRI MAHENDRA KE MAKAN TAK CC ROAD KA NIRAM .. IA(KARYADAI SANTATHA- NAGAR PANCHAYAT PADALI GUJJAR)","19-Jan-2024","27-Jan-2024","591230","Physical Inspection"
"2883","Normal/Others","WS/MP850/2023-2024/84726-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","MAIN ROAD SE RAMKISHAN KE MAKAN KI AUR INTERLOCKING TILES SE SARAK  NIRMAN .. IA(KARYADAI SANSTATHA)-PAGAR PALIKA PRAISHAD ,SHIVALIK NAGAR","19-Jan-2024","27-Jan-2024","760061","Physical Inspection"
"2884","Normal/Others","WS/MP850/2023-2024/84727-Construction of rooms and halls in school and colleges","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","SHRI GANDHI MAHILA SHILP VIDYALYA INTER COLLEGE ,ROORKEE MEIN CLASS ROOM KA NIRMAN .. IA( KARYADAI SANSTATHA) - NAGAR PALIKA PARISHAD SHIVALIK NAGAR","19-Jan-2024","27-Jan-2024","2000000","Work Completed"
"2885","Normal/Others","WS/MP204/2023-2024/84764-Lighting of public spaces","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16 Meter High Mast with 8 Led Light in Village Dallawala","19-Jan-2024","05-Mar-2024","2441090","Physical Inspection"
"2886","Normal/Others","WS/MP850/2023-2024/84768-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM- AKODHA MUKHARMATPUR MEIN MAIN ROAD SE BALBIR KE MAKAN KI AUR CC ROAD KA NIRMAN.. IA(KARYADAI SANSTATHA ) -NAGAR PANCHAYAT SULTANPUR","19-Jan-2024","06-Feb-2024","838601","Physical Inspection"
"2887","Normal/Others","WS/MP183/2023-2024/84999-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","BLOCK FIROZABAD. MOHALLA  SATYA NAGAR TAPA, BAMBA BYE PASS ROAD, FIROZABAD MEIN KRISHAN KANT KE GHAR SE KEDARILAL GOLA KE GHAR TAK, INTERLOCKING  WORK.  LENGTH = 50 Meter. Cost. 4 Lac.  C/o Anar Singh Diwakar, Contact No.-  94122 65543.","19-Jan-2024","12-Mar-2024","399614","Physical Inspection"
"2888","Normal/Others","WS/MP106/2023-2024/85050-Construction of rooms and halls in school and colleges","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Shaskiy High School Sahavan Block, Chichli district Narsinghpur Ke School Bhavan ka Repair Work (mention in letter no. 3470 at column no.1)","19-Jan-2024","09-Mar-2024","100000","Physical Inspection"
"2889","Normal/Others","WS/MP106/2023-2024/85053-Construction of boundary walls of existing public and community buildings","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Shaskiy High School Sahavan Block, Chichli district Narsinghpur Ke School Bhavan main 100 meter Boundrywall Nirman (mention in letter no. 3470 at column no.2)","19-Jan-2024","09-Mar-2024","200000","Physical Inspection"
"2890","Normal/Others","WS/MP182/2023-2024/85322-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","Khalilabad Mehdawal sampark marg se Agrawal netralay tak CC road","20-Jan-2024","11-Mar-2024","1731431","Physical Inspection"
"2891","Normal/Others","WS/MP850/2023-2024/85456-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM UMEDPUR THAKURPUR MEIN SUMIT PANWAR KE GHAR SE BHAGWATI NAUTIYAL KE GHAR TAK SARAK NIRMAN. IA(KARYADAI SANTATHA) -   NAGAR PALIKA PARISHAD HERBURTPUR","20-Jan-2024","28-Feb-2024","500000","Physical Inspection"
"2892","Normal/Others","WS/MP850/2023-2024/85457-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM THAKURPUR (UMEDPUR) MEIN VISHNU VIHAR COLONY MEIN SHRI LAKHAN SINGH RANA KE MAKAN SE SHRI SUSHIL RANA KE MAKAN TAK SARAK NIRMAN.. IA(KARYADAI SANASTATHA) - NAGAR PALIKA PRAISHAD, HERBURTBUR","20-Jan-2024","28-Feb-2024","500000","Physical Inspection"
"2893","Normal/Others","WS/MP850/2023-2024/85459-Construction of rooms and halls in school and colleges","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","SARASWATI SHISHU VIDYA MANDIR SCHOOL WARD - 8 SELAQUI MEIN 2 ROOMS KA NIRMAN .. IA(KARYADAI SANSTATHA)-NAGAR PALIKA PARISHAD ,HERBURTPUR","20-Jan-2024","28-Feb-2024","1000000","Work partially Completed"
"2894","Normal/Others","WS/MP850/2024-2025/85582-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT KOTI KE PAIHAR MUKYE SARAK SE DARSHAN SINGH ,CHETRAM,JOGENDRA SINGH ADI KE GHARO TAK CC ROAD NIRMAN ..SC/ST KHETR IA(KARYADAI SANSTATHA ) - BLOCK KALSI","20-Jan-2024","24-Jun-2024","2000000","Work Completed"
"2895","Normal/Others","WS/MP106/2023-2024/85973-Construction of culverts and bridges","Madhya Pradesh","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Chatahedi ke gram Dhekpur (Bijoipura Tapra) ke pas Pipe Puliya Nirman, Janpad Panchayat Berasia, District Bhopal (mention in letter no. 3463 at column no.1)","20-Jan-2024","07-Feb-2024","750000","Vendor Identification"
"2896","Normal/Others","WS/MP147/2023-2024/86044-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Nainadaan jee ka Vaas, Graam Panchaayat- Baarath ka Gaanv mein Saarvajanik Vaachanaalay Nirmaan.","20-Jan-2024","16-Mar-2024","1000000","Physical Inspection"
"2897","Normal/Others","WS/MP189/2024-2025/87020-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Laying of C.C. Road from NH-48 to Nathu Ram Yadav ki Dhani in Village Kherki","10-Jan-2024","31-Jul-2024","1500000","Sanction"
"2898","Normal/Others","WS/MP840/2023-2024/87025-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of 2nd floor of Community Hall at Datta Temple in Panchadevepad village, Makthal Mandal, Narayanpet District","23-Jan-2024","15-Mar-2024","5000000","Work Completed"
"2899","Normal/Others","WS/MP840/2023-2024/87030-Construction of community centers and community halls","Andhra Pradesh","Narayanpet(DISTRICT COLLECTOR NARAYANPET_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of balance work of 2nd floor of Community Hall at Datta Temple in Panchadevepad village, Makthal Mandal, Narayanpet District","23-Jan-2024","15-Mar-2024","5000000","Work Completed"
"2900","Normal/Others","WS/MP840/2023-2024/87035-Construction of rooms and halls in school and colleges","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Construction of a dining hall at GOVERNMENT HIGH SCHOOL","23-Jan-2024","24-Feb-2024","2349768","Physical Inspection"
"2901","Normal/Others","WS/MP850/2023-2024/87159-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT PONDHA MEIN LAXMAN GARG KE MAKAN SE MOHAN POKHRIYAL KE MAKAN TAK CC TILES  SARAK NIRMAN KARYA.. IA( KARYADAI SANSTATHA)-NAGAR PALIKA PARISHAD HERBURTPUR","23-Jan-2024","28-Feb-2024","1000000","Physical Inspection"
"2902","Normal/Others","WS/MP850/2023-2024/87160-Construction of common work sheds/ common covered sitting area","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF COMMUNITY CENTRE/SHED AT GIC PATEL NAGAR IA(KARYADAI SANSTATHA )- NAGAR PALIKA PARISHAD HERBURTPUR","23-Jan-2024","28-Feb-2024","300000","Physical Inspection"
"2903","Normal/Others","WS/MP850/2023-2024/87161-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","RAJKIYE INTER COLLEGE ,PATEL NAGAR MEIN CC TILES KA NIRMAN KARYA .. IA ( KARYADAI SANTATHA)- NAGAR PALIKA PARISHAD HERBURTPUR","23-Jan-2024","28-Feb-2024","1300000","Physical Inspection"
"2904","Normal/Others","WS/MP146/2023-2024/87231-Purchase of hospital equipment","Rajasthan","JALORE(DISTRICT COLLECTOR JALORE_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Purchase of medical equipments  Leproscopy and Historoscopy at Samanya Chikitsalaya (MCH), Jalore  (Ref. Letter dt. MPLADS/RS/2023/15 dt. 18.08.2023 of amount Rs.22 lacs was not cleared and rejected earlier)","23-Jan-2024","05-Feb-2024","2464000","Physical Inspection"
"2905","Normal/Others","WS/MP188/2024-2025/87442-Construction of stadiums","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","This amount of Rs 94,95,000 is being sanctioned from my end towards the construction of a Multipurpose Indoor Stadium at Chaudhary Charan Singh Inter College, Bhatona (Block - Gulaothi)  This amount is being sanctioned as per the updated estimate received from the district authorities","23-Jan-2024","21-Aug-2024","9495000","Vendor Identification"
"2906","Normal/Others","WS/MP131/2025-2026/87477-Installing community drinking water plants","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Solar Water Pump with Tubewell for drinking purpose Near Andha Kapileswar Temple, Kapileswarpur, Anlo, Niali","23-Jan-2024","22-Apr-2025","800000","Sanction"
"2907","Normal/Others","WS/MP189/2024-2025/87787-Construction of rooms and halls in school and colleges","Uttar Pradesh","BASTI(DISTRICT MAGISTRATE BASTI_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of One Classroom at Pandit Chaturbhuj Tiwari Adarsh Inter College, Akelwa, Anthi, Basti","24-Jan-2024","28-Jun-2024","500000","Vendor Identification"
"2908","Normal/Others","WS/MP189/2023-2024/87832-Construction of rooms and halls in school and colleges","Uttar Pradesh","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Classrooms at Baba Malon Singh Samrak Mahavidyalaya, Baij Nathpur, Dist. Sant Kabir Nagar","24-Jan-2024","11-Mar-2024","1000000","Work partially Completed"
"2909","Normal/Others","WS/MP189/2024-2025/87846-Construction of rooms and halls in school and colleges","Uttar Pradesh","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Library and Two Rooms at Baba Gopi Das Memorial Children Public School, Kaptanganj, Azamgarh","24-Jan-2024","15-Feb-2025","1090000","Vendor Identification"
"2910","Normal/Others","WS/MP140/2023-2024/88157-Purchase of mobile water tankers","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Bodal. 2mm stainless sheet AISI 304 Material etc. (SC)","24-Jan-2024","22-Feb-2024","336300","Physical Inspection"
"2911","Normal/Others","WS/MP189/2023-2024/88714-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction work of Interlocking Tiles and Drain from Shripal Towards Ramesh at Village Makundpur, Block Baghra","25-Jan-2024","06-Mar-2024","798000","Physical Inspection"
"2912","Normal/Others","WS/MP189/2023-2024/88734-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Earth Work  and B.O.E. Soiling from Pintu's Khet towards Pravindra's Khet","25-Jan-2024","06-Mar-2024","458000","Physical Inspection"
"2913","Normal/Others","WS/MP189/2023-2024/88746-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction Work of Interlocking Tiles and Drain at Nadi Road","25-Jan-2024","06-Mar-2024","900000","Physical Inspection"
"2914","Normal/Others","WS/MP189/2023-2024/88755-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Earth Work & B.O.E. Soiling from Kabool's Khet towards Babli at Village Gyana Majra, Charthaval, District Muzaffarnagar","25-Jan-2024","06-Mar-2024","399000","Physical Inspection"
"2915","Normal/Others","WS/MP189/2023-2024/88765-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Earth Work & B.O.E. Soiling from Kashyap's House towards Shamshan Road at Village Nuna Khera, Block Baghra, District Muzaffarnagar","25-Jan-2024","06-Mar-2024","798000","Physical Inspection"
"2916","Normal/Others","WS/MP189/2023-2024/88785-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction work of Interlocking Tiles and Drain from Puliya towards Village","25-Jan-2024","06-Mar-2024","549000","Physical Inspection"
"2917","Normal/Others","WS/MP189/2023-2024/88793-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Earth Work & B.O.E. Soiling from Rasoolpur Road towards Shamsham/Kabristan Road at Village Saidnagla, Charthaval, District Muzaffarnagar","25-Jan-2024","06-Mar-2024","649000","Physical Inspection"
"2918","Normal/Others","WS/MP189/2023-2024/88801-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Earth Work & B.O.E. Soiling from Naseem's Khet towards Chaukda Roat at Village Mathura, Charthaval, District Muzaffarnagar","25-Jan-2024","06-Mar-2024","850000","Physical Inspection"
"2919","Normal/Others","WS/MP189/2023-2024/88808-Construction of public libraries and reading rooms","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction work of Library Room in Ch. Mahendra Singh Tikait Kisan Trust, Sisauli, District Muzaffarnagar","25-Jan-2024","14-Mar-2024","650000","Work Completed"
"2920","Normal/Others","WS/MP189/2023-2024/88852-Construction of rooms and halls in school and colleges","Uttar Pradesh","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction work of 1 Room in R. K. Pndey Mahavidyalaya, Chhatauna Mariyani, Unchahar, Block Rohniya, District Rae Bareli","25-Jan-2024","16-Mar-2024","1000000","Work Completed"
"2921","Normal/Others","WS/MP141/2023-2024/89194-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of new link road from hariana shamchurasi road to gujjran da dera shamchurasi","25-Jan-2024","06-Feb-2024","3793331","Physical Inspection"
"2922","Normal/Others","WS/MP147/2024-2025/89402-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For construction of gravel road from link asphalt road to Dhaniya of Bhanwarsingh .  Revised: For the construction of a public reading room in village Moolana, the residence of Bhanwar Singh Sagar.","25-Jan-2024","18-Jan-2025","1000000","Physical Inspection"
"2923","Normal/Others","WS/MP847/2024-2025/89994-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","600 mtr  CC road bnaye jane hetu Karyadayi Sanstha- Gramin Abhiyantran Vibhag (RED) Hamirpur, U.P","27-Jan-2024","12-Dec-2024","3700000","Physical Inspection"
"2924","Normal/Others","WS/MP847/2024-2025/90048-Improvement of electricity distribution infrastructure","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","1 Transformer 16 KVA with 1 Poll Lagaye Jane Hetu Karyadayi Sanstha- Vidyut Vitaran Khand Hamirpur, U.P.","27-Jan-2024","10-Dec-2024","100000","Sanction"
